ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,upper_channel,lower_channel,mid_channel,tr,atr,signal,position,entry_price,stop_loss,trade_type,daily_return,strategy_return,strategy_nav,buy_hold_nav
688146.SH,2025-11-21,40.5,42.7,40.0,40.3,41.75,-1.45,-3.4731,75691.39,312385.405,44.381,42.59283333333334,52.4,41.56,46.980000000000004,2.700000000000003,2.6821428571428574,0,0,,,,-0.03473053892215572,-0.0,0.995221451053375,1.3939813213420973
688146.SH,2025-11-24,40.5,41.4,40.02,40.8,40.3,0.5,1.2407,53120.62,216479.029,44.4765,42.582,52.4,40.0,46.2,1.3799999999999955,2.6185714285714283,0,0,,,,0.012406947890818865,0.0,0.995221451053375,1.4112763749567636
688146.SH,2025-11-25,40.79,41.11,39.89,40.07,40.8,-0.73,-1.7892,66486.76,269314.817,44.23,42.55083333333334,52.4,40.0,46.2,1.2199999999999989,2.4685714285714284,0,0,,,,-0.017892156862745034,-0.0,0.995221451053375,1.386025596679351
688146.SH,2025-11-26,39.93,40.23,39.27,39.52,40.07,-0.55,-1.3726,43150.13,171386.93,43.846,42.5035,52.4,39.89,46.144999999999996,0.9599999999999937,2.4007142857142854,0,0,,,,-0.013725979535812227,-0.0,0.995221451053375,1.3670010377032185
688146.SH,2025-11-27,39.52,40.46,39.47,39.51,39.52,-0.01,-0.0253,37676.01,150544.399,43.38100000000001,42.462,52.0,39.27,45.635000000000005,0.990000000000002,2.21,0,0,,,,-0.00025303643724705616,-0.0,0.995221451053375,1.366655136630925
688146.SH,2025-11-28,39.5,40.34,39.1,40.26,39.51,0.75,1.8983,37777.52,151061.746,43.1,42.41333333333333,49.7,39.27,44.485,1.240000000000002,2.139285714285714,0,0,,,,0.018982536066818545,0.0,0.995221451053375,1.3925977170529242
688146.SH,2025-12-01,40.0,41.06,39.91,40.72,40.26,0.46,1.1426,55533.25,224502.54,42.792,42.3785,48.5,39.1,43.8,1.1500000000000057,2.0864285714285713,0,0,,,,0.01142573273720826,0.0,0.995221451053375,1.4085091663784173
688146.SH,2025-12-02,40.35,40.69,39.7,39.99,40.72,-0.73,-1.7927,35939.31,144000.398,42.4965,42.32333333333334,47.47,39.1,43.285,1.019999999999996,2.0049999999999994,0,0,,,,-0.017927308447937107,-0.0,0.995221451053375,1.3832583881010045
688146.SH,2025-12-03,39.9,39.98,39.22,39.54,39.99,-0.45,-1.1253,28938.01,114223.238,42.198,42.3065,47.47,39.1,43.285,0.7700000000000031,1.8457142857142854,0,0,,,,-0.011252813203300849,-0.0,0.995221451053375,1.367692839847805
688146.SH,2025-12-04,39.23,39.64,38.7,39.14,39.54,-0.4,-1.0116,29040.52,113473.854,41.9175,42.278666666666666,47.47,39.1,43.285,0.9399999999999977,1.745714285714285,0,0,,,,-0.010116337885685334,-0.0,0.995221451053375,1.353856796956072
688146.SH,2025-12-05,39.39,39.98,38.72,39.8,39.14,0.66,1.6863,30037.07,118749.816,41.608,42.29383333333333,47.47,38.7,43.085,1.259999999999998,1.5657142857142854,0,0,,,,0.01686254471129267,0.0,0.995221451053375,1.3766862677274312
688146.SH,2025-12-08,39.85,40.63,39.85,40.22,39.8,0.42,1.0553,40480.0,163297.523,41.346500000000006,42.301833333333335,47.28,38.7,42.99,0.8300000000000054,1.4135714285714285,0,0,,,,0.010552763819095423,0.0,0.995221451053375,1.3912141127637507
688146.SH,2025-12-09,40.05,40.49,39.5,39.91,40.22,-0.31,-0.7708,31657.6,126668.168,41.112,42.291500000000006,46.19,38.7,42.445,0.990000000000002,1.3342857142857143,0,0,,,,-0.007707608155146706,-0.0,0.995221451053375,1.3804911795226578
688146.SH,2025-12-10,39.91,39.93,39.26,39.83,39.91,-0.08,-0.2005,32830.05,129892.026,40.9295,42.30683333333334,45.99,38.7,42.345,0.6700000000000017,1.1514285714285717,0,0,,,,-0.002004510147832539,-0.0,0.995221451053375,1.3777239709443112
688146.SH,2025-12-11,40.29,40.6,39.26,39.34,39.83,-0.49,-1.2302,40758.44,162455.904,40.679,42.30733333333333,45.99,38.7,42.345,1.3400000000000034,1.0542857142857147,0,0,,,,-0.012302284710017486,-0.0,0.995221451053375,1.3607748184019384
688146.SH,2025-12-12,39.2,40.15,38.88,39.79,39.34,0.45,1.1439,49756.99,196408.821,40.5675,42.29966666666667,45.8,38.7,42.25,1.269999999999996,1.046428571428572,0,0,,,,0.011438739196746095,0.0,0.995221451053375,1.3763403666551377
688146.SH,2025-12-15,39.43,41.2,39.41,40.23,39.79,0.44,1.1058,66584.43,269488.291,40.417,42.298,45.8,38.7,42.25,1.7900000000000063,1.087142857142858,0,0,,,,0.011058054787635108,0.0,0.995221451053375,1.391560013836044
688146.SH,2025-12-16,40.17,42.85,40.17,41.47,40.23,1.24,3.0823,108342.39,452196.862,40.316,42.31666666666667,45.2,38.7,41.95,2.6799999999999997,1.2100000000000013,0,0,,,,0.03082276907780268,0.0,0.995221451053375,1.4344517468004163
688146.SH,2025-12-17,41.4,41.97,39.91,41.6,41.47,0.13,0.3135,84772.32,346902.315,40.1895,42.32166666666667,45.1,38.7,41.900000000000006,2.0600000000000023,1.2864285714285728,0,0,,,,0.0031347962382446415,0.0,0.995221451053375,1.4389484607402296
688146.SH,2025-12-18,41.22,41.77,40.65,40.71,41.6,-0.89,-2.1394,52482.4,215258.298,40.1375,42.29666666666667,44.79,38.7,41.745000000000005,1.1200000000000045,1.2778571428571444,0,0,,,,-0.02139423076923075,-0.0,0.995221451053375,1.4081632653061238
688146.SH,2025-12-19,40.71,40.97,40.05,40.37,40.71,-0.34,-0.8352,48268.44,195013.756,40.141000000000005,42.268,42.85,38.72,40.785,0.9200000000000017,1.2614285714285727,0,0,,,,-0.008351756325227333,-0.0,0.995221451053375,1.3964026288481506
688146.SH,2025-12-22,40.39,41.2,40.12,40.65,40.37,0.28,0.6936,47987.26,195963.821,40.1335,42.227833333333336,42.85,38.88,40.865,1.0800000000000054,1.2657142857142876,0,0,,,,0.00693584344810505,0.0,0.995221451053375,1.4060878588723638
688146.SH,2025-12-23,40.65,41.7,40.56,40.98,40.65,0.33,0.8118,58167.18,239801.908,40.179,42.20633333333333,42.85,38.88,40.865,1.1400000000000006,1.2921428571428588,0,0,,,,0.008118081180811698,0.0,0.995221451053375,1.4175025942580433
688146.SH,2025-12-24,41.14,42.17,40.78,41.73,40.98,0.75,1.8302,61870.06,256478.321,40.2895,42.1775,42.85,38.88,40.865,1.3900000000000006,1.3242857142857163,0,0,,,,0.018301610541727742,0.0,0.995221451053375,1.4434451746800427
