ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60
688146.SH,2026-04-20,67.8,69.45,65.09,67.57,64.31,3.26,5.0692,199436.49,1337492.688,51.71,47.5955
688146.SH,2026-04-21,66.41,71.08,63.01,69.3,67.57,1.73,2.5603,271206.62,1833958.712,53.071000000000005,47.97266666666667
688146.SH,2026-04-22,69.3,74.07,66.16,70.1,69.3,0.8,1.1544,257129.24,1773025.749,54.520500000000006,48.33116666666667
688146.SH,2026-04-23,71.04,73.74,69.9,70.81,70.1,0.71,1.0128,210332.3,1497820.781,56.001999999999995,48.72133333333333
688146.SH,2026-04-24,72.49,78.92,71.2,73.08,70.81,2.27,3.2058,253079.15,1877051.562,57.6145,49.116499999999995
688146.SH,2026-04-27,73.5,78.5,71.17,71.4,73.08,-1.68,-2.2989,275625.35,2042034.185,59.05550000000001,49.50566666666666
688146.SH,2026-04-28,71.9,76.39,69.65,74.02,71.4,2.62,3.6695,259457.98,1894261.235,60.564499999999995,49.932
688146.SH,2026-04-29,73.46,79.65,72.8,76.11,74.02,2.09,2.8236,190375.04,1458899.397,62.242,50.410666666666664
688146.SH,2026-04-30,79.38,87.77,78.34,80.35,76.11,4.24,5.5709,269395.0,2197853.489,64.112,50.94916666666666
688146.SH,2026-05-06,82.0,82.5,76.81,77.25,80.35,-3.1,-3.8581,275850.96,2172294.3,65.84049999999999,51.42916666666667
688146.SH,2026-05-07,76.2,80.06,75.1,78.0,77.25,0.75,0.9709,199076.38,1552429.631,67.1795,51.96333333333333
688146.SH,2026-05-08,77.17,81.8,77.17,79.84,78.0,1.84,2.359,169422.89,1356125.559,68.508,52.5405
688146.SH,2026-05-11,82.6,95.81,81.13,95.81,79.84,15.97,20.0025,278903.02,2521595.179,70.575,53.43233333333333
688146.SH,2026-05-12,100.6,101.9,95.08,98.0,95.81,2.19,2.2858,266510.91,2606373.26,72.59949999999999,54.3435
688146.SH,2026-05-13,97.65,117.6,94.65,117.6,98.0,19.6,20.0,297233.44,3076460.195,75.45700000000001,55.597166666666666
688146.SH,2026-05-14,132.0,141.12,131.71,141.12,117.6,23.52,20.0,269662.14,3767654.583,79.47149999999999,57.24416666666666
688146.SH,2026-05-15,139.53,151.0,136.9,145.55,141.12,4.43,3.1392,324993.84,4704174.712,83.6935,58.96966666666666
688146.SH,2026-05-18,141.36,147.64,131.0,135.9,145.55,-9.65,-6.63,230016.2,3173965.449,87.4815,60.494
688146.SH,2026-05-19,131.5,134.88,118.4,126.13,135.9,-9.77,-7.1891,209328.31,2621253.779,90.6125,61.851333333333336
688146.SH,2026-05-20,126.48,149.49,124.68,141.58,126.13,15.45,12.2493,247850.1,3351181.465,94.476,63.472
688146.SH,2026-05-21,140.0,141.11,127.51,127.87,141.58,-13.71,-9.6836,179804.23,2415205.517,97.49100000000001,64.8615
688146.SH,2026-05-22,129.3,135.88,129.3,130.72,127.87,2.85,2.2288,139768.65,1846904.087,100.562,66.3095
688146.SH,2026-05-25,131.0,135.8,122.0,134.33,130.72,3.61,2.7616,183330.02,2369177.599,103.77349999999998,67.804
688146.SH,2026-05-26,131.1,143.88,128.0,142.0,134.33,7.67,5.7098,167082.08,2315535.39,107.333,69.32116666666666
688146.SH,2026-05-27,144.0,165.47,139.0,155.0,142.0,13.0,9.1549,196033.8,3007315.83,111.429,71.08316666666666
688146.SH,2026-05-28,154.0,175.38,154.0,174.66,155.0,19.66,12.6839,160523.75,2706086.186,116.59200000000001,73.18433333333333
688146.SH,2026-05-29,182.0,182.5,164.01,174.66,174.66,0.0,0.0,159837.5,2779463.848,121.624,75.2855
688146.SH,2026-06-01,185.1,198.66,166.31,169.99,174.66,-4.67,-2.6738,206601.89,3854712.284,126.31799999999998,77.33983333333335
688146.SH,2026-06-02,173.39,196.58,173.39,192.0,169.99,22.01,12.9478,232035.12,4268286.89,131.90050000000002,79.786
688146.SH,2026-06-03,192.0,201.99,178.77,182.66,192.0,-9.34,-4.8646,260398.0,4844921.73,137.171,82.07283333333334
688146.SH,2026-06-04,199.59,219.19,193.9,219.19,182.66,36.53,19.9989,200212.58,4226903.906,144.2305,84.96716666666666
688146.SH,2026-06-05,229.0,243.03,219.14,231.11,219.19,11.92,5.4382,254625.85,5885463.711,151.79399999999998,88.08333333333333
688146.SH,2026-06-08,231.0,265.5,230.68,252.18,231.11,21.07,9.1169,248539.27,6270519.088,159.6125,91.54333333333334
688146.SH,2026-06-09,247.0,262.96,239.99,250.82,252.18,-1.36,-0.5393,178017.66,4467261.472,167.25349999999997,94.96700000000001
688146.SH,2026-06-10,263.0,298.9,263.0,292.0,250.82,41.18,16.4181,177006.9,4995813.347,175.9735,99.06616666666667
688146.SH,2026-06-11,308.06,349.8,289.0,349.8,292.0,57.8,19.7945,209791.63,6724663.037,186.4075,104.132
688146.SH,2026-06-12,327.0,336.93,279.88,302.0,349.8,-47.8,-13.665,284423.17,8786424.759,194.23,108.42266666666667
688146.SH,2026-06-15,310.0,318.92,280.04,318.3,302.0,16.3,5.3974,203329.69,6207388.019,203.35,113.02433333333335
