ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,trade_date_str,rsi,dif,dea,macd_hist,bb_mid,bb_upper,bb_lower,k,d,j
688146.SH,2025-11-17,43.1,45.8,43.1,43.24,42.02,1.22,2.9034,94991.32,423875.212,43.8735,42.43083333333333,2025-11-17,49.008942969599595,0.423812160799514,0.7906067434047501,-0.7335891652104722,43.8735,49.646840818843685,38.100159181156315,20.50225289213177,27.2819285898271,-20.33902709308598
688146.SH,2025-11-18,43.26,45.2,42.24,43.49,43.24,0.25,0.5782,90323.73,394868.46,44.0465,42.48166666666667,2025-11-18,49.774037049766996,0.34763131688409743,0.7020116581006196,-0.7087606824330444,44.0465,49.53525318983717,38.55774681016283,22.703577630163572,25.75581160327259,-9.156701919327062
688146.SH,2025-11-19,43.0,45.1,43.0,44.13,43.49,0.64,1.4716,88147.07,388117.775,44.278000000000006,42.5575,2025-11-19,51.76916280939361,0.335037991116927,0.6286169247038811,-0.5871578671739082,44.278000000000006,49.332751178216846,39.223248821783166,28.078331362722015,26.5299848564224,4.645039518898855
688146.SH,2025-11-20,44.77,44.79,41.56,41.75,44.13,-2.38,-5.3932,81801.48,349925.472,44.39,42.582,2025-11-20,44.663897647124095,0.13149577872250973,0.5291926955076068,-0.7953938335701942,44.39,49.08649365288395,39.69350634711605,19.826113682374103,24.295361131739632,-13.407742348096576
688146.SH,2025-11-21,40.5,42.7,40.0,40.3,41.75,-1.45,-3.4731,75691.39,312385.405,44.381,42.59283333333334,2025-11-21,40.9741642996447,-0.14514265866596787,0.3943256246728919,-1.0789365666777195,44.381,49.10962236530732,39.652377634692684,14.83291800688159,21.141213423453618,-18.92488624971608
688146.SH,2025-11-24,40.5,41.4,40.02,40.8,40.3,0.5,1.2407,53120.62,216479.029,44.4765,42.582,2025-11-24,42.731052982136305,-0.32034208786017615,0.2513920821662783,-1.1434683400529089,44.4765,48.797792569785635,40.15520743021437,14.340476222729055,18.874301023212094,-13.60147440144911
688146.SH,2025-11-25,40.79,41.11,39.89,40.07,40.8,-0.73,-1.7892,66486.76,269314.817,44.23,42.55083333333334,2025-11-25,40.820672825401765,-0.512189594062356,0.09867574692055144,-1.221730681965815,44.230000000000004,48.96791870806274,39.49208129193727,10.543924039196417,16.09750869520687,-16.660753968031358
688146.SH,2025-11-26,39.93,40.23,39.27,39.52,40.07,-0.55,-1.3726,43150.13,171386.93,43.846,42.5035,2025-11-26,39.39175883401284,-0.7005351947157834,-0.061166441406715524,-1.2787375066181357,43.846,48.809900842981016,38.88209915701898,8.30544399958679,13.500153796666842,-15.584129391240154
688146.SH,2025-11-27,39.52,40.46,39.47,39.51,39.52,-0.01,-0.0253,37676.01,150544.399,43.38100000000001,42.462,2025-11-27,39.36477797763167,-0.8409138254873767,-0.21711591822284776,-1.247595814529058,43.38100000000001,48.12445155257006,38.63754844742996,6.76207752090878,11.254128371414154,-13.476152551516122
688146.SH,2025-11-28,39.5,40.34,39.1,40.26,39.51,0.75,1.8983,37777.52,151061.746,43.1,42.41333333333333,2025-11-28,42.54338154907815,-0.8814849598470289,-0.349989726547684,-1.0629904665986898,43.1,47.88579037084623,38.31420962915377,10.846849494813481,11.118368745880597,-0.814557753201349
